AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
Ability_39_Body	Press \x0e\x04\x05\x021\0 at the moment you land\nfrom an {c[ff8c00]}Air Suplex{c[000000]} to unleash\na {c[ff8c00]}Rolling Breaker {c[000000]}combo attack!
Ability_40_Title	Staff Tip #1
Ability_40_Body	The Staff's main advantage is its\n{c[ff8c00]}long reach{c[000000]}. Use it to fight your\nenemy from a {c[ff8c00]}distance{c[000000]}!
Ability_41_Title	Staff Tip #2
Ability_41_Body	Press and hold \x0e\x04\x06\x022\0 for a\n{c[ff8c00]}Super Long Jab{c[000000]}, then move\n\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 to {c[ff8c00]}change directions{c[000000]}!
Ability_42_Title	Staff Tip #3
Ability_42_Body	Watch the enemy's attacks and\nfind the right opening to strike\nback with a {c[ff8c00]}Staff Counter{c[000000]}!
Ability_43_Title	Artist Tip #1
Ability_43_Body	After completing a picture with\nthe {c[ff8c00]}Painter{c[000000]} skill, use \x0e\x04\x17\x02Ä\0/\x0e\x04\x15\x02Â\0 to\n{c[ff8c00]}change direction{c[000000]}!
Ability_44_Title	Artist Tip #2
Ability_44_Body	After completing a {c[ff8c00]}Sculpture{c[000000]},\nuse \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 to slowly move it!
Ability_45_Title	Artist Tip #3
Ability_45_Body	Use the painting created with\n{c[ff8c00]}Painter {c[000000]}as a shield so you can\nattack with {c[ff8c00]}Dash + \x0e\x04\x06\x022\0{c[000000]}!
Ability_46_Title	Yo-Yo Tip #1
Ability_46_Body	During the {c[ff8c00]}Break Spin {c[000000]}move,\nmash \x0e\x04\x06\x022\0 to{c[ff8c00]} make it bounce{c[000000]}!
Ability_47_Title	Yo-Yo Tip #2
Ability_47_Body	Use{c[ff8c00]} Hammer Drop{c[000000]} to grab an\nenemy, then use it again to\n{c[ff8c00]}strike {c[000000]}multiple enemies at once!
Ability_48_Title	Yo-Yo Tip #3
Ability_48_Body	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0 activates {c[ff8c00]}Gazer Spiral{c[000000]},\nwhich lets you hit enemies not\njust {c[ff8c00]}above you{c[000000]} but on {c[ff8c00]}both sides\n{c[000000]}as well!
Ability_49_Title	Water Tip #1
Ability_49_Body	The Water move{c[ff8c00]} Fountain Hover\n{c[000000]}hits enemies below you. The longer\nyou use it, {c[ff8c00]}the lower it goes{c[000000]}!
Ability_50_Title	Water Tip #2
Ability_50_Body	After cornering your opponent\nwith {c[ff8c00]}Wave Surf{c[000000]}, hit them with\na {c[ff8c00]}Geyser{c[000000]} for a brutal combo!
Ability_51_Title	Water Tip #3
Ability_51_Body	Unleash a {c[ff8c00]}Geyser {c[000000]}with \x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0,\nthen repeatedly press \x0e\x04\x06\x022\0 to\nmake it {c[ff8c00]}spout even higher{c[000000]}!
Ability_52_Title	King Dedede Tip #1
Ability_52_Body	Use \x0e\x04\x15\x02Â\0 \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0 to do a {c[ff8c00]}Super Dedede\nJump{c[000000]}!{c[ff8c00]} {c[000000]}You can do this {c[ff8c00]}up to 3\ntimes {c[000000]}in a row!
Ability_53_Title	King Dedede Tip #2
Ability_53_Body	While doing a {c[ff8c00]}Giant Dedede Swing{c[000000]},\nlink it to a {c[ff8c00]}Dedede Hammer Throw\n{c[000000]}with \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0!
Ability_54_Title	King Dedede Tip #3
Ability_54_Body	When doing a {c[ff8c00]}Super Dedede Jump{c[000000]},{c[ff8c00]}\n{c[000000]}you can {c[ff8c00]}adjust where you land\n{c[000000]}with \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0!
Ability_55_Title	Meta Knight Tip #1
Ability_55_Body	After cornering your opponent\nwith {c[ff8c00]}Piercing Slash{c[000000]}, you can use\n{c[ff8c00]}Shuttle Loop {c[000000]}as a follow-up!
Ability_56_Title	Meta Knight Tip #2
Ability_56_Body	While doing a {c[ff8c00]}Shuttle Loop{c[000000]}, tilt\n\x0e\x04\x13\x02À\0 backward to {c[ff8c00]}fly even higher{c[000000]}!
Ability_57_Title	Meta Knight Tip #3
Ability_57_Body	Watch the timing of your enemy's\nattack and use \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 at the right\nmoment for a {c[ff8c00]}Galactic Counter{c[000000]}!
Ability_58_Title	Bandana Waddle Dee Tip #1
Ability_58_Body	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 initiates a {c[ff8c00]}Ground Thrust{c[000000]}!\nYou can also {c[ff8c00]}Jump{c[000000]} with \x0e\x04\x05\x021\0\nwhile dashing!
Ability_59_Title	Bandana Waddle Dee Tip #2
Ability_59_Body	If you land a hit with a {c[ff8c00]}Waddle\nSpear Throw{c[000000]}, you can immediately\nfollow it up with a {c[ff8c00]}Spear Thrust{c[000000]}!
Ability_60_Title	Bandana Waddle Dee Tip #3
Ability_60_Body	After a {c[ff8c00]}Ground Thrust{c[000000]} (\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0),\nkeep holding \x0e\x04\x06\x022\0 to follow it up\nwith a {c[ff8c00]}Waddle Copter{c[000000]}!
Ability_61_Title	Gooey Tip #1
Ability_61_Body	The moment you perform a {c[ff8c00]}Dark\nLaser Flare{c[000000]}, tilt \x0e\x04\x15\x02Â\0 to change the\n{c[ff8c00]}angle of the laser{c[000000]}!
Ability_62_Title	Gooey Tip #2
Ability_62_Body	You can adjust {c[ff8c00]}the direction{c[000000]} of\na {c[ff8c00]}Dark Laser{c[000000]} shot in midair\nwith \x0e\x04\x17\x02Ä\0/\x0e\x04\x15\x02Â\0!
Ability_63_Title	Gooey Tip #3
Ability_63_Body	While dashing from a {c[ff8c00]}Burning\nGooey{c[000000]}, press \x0e\x04\x05\x021\0 {c[ff8c00]}to explode{c[000000]}!
Ability_64_Title	Magolor Tip #1
Ability_64_Body	After throwing {c[ff8c00]}Gem Apple Bombs{c[000000]},\nyou can leave them where they land\nfor a {c[ff8c00]}more powerful explosion{c[000000]}!
Ability_65_Title	Magolor Tip #2
Ability_65_Body	You can use \x0e\x04\x17\x02Ä\0/\x0e\x04\x15\x02Â\0 to {c[ff8c00]}bend{c[000000]} the\npath of a {c[ff8c00]}Magic Sphere!{c[000000]}
Ability_66_Title	Magolor Tip #3
Ability_66_Body	{c[ff8c00]}Deadly Needles{c[000000]} can also be\nactivated with {c[ff8c00]}\x0e\x04\x17\x02Ä\0 + mashing \x0e\x04\x06\x022\0{c[000000]}.\n{c[ff8c00]}\x0e\x04\x17\x02Ä\0 + holding \x0e\x04\x06\x022\0 {c[000000]}will increase\nthe number of needles!
CommonGameOver_1_Title	Guarding
CommonGameOver_1_Body	Press {c[ff8c00]}\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0{c[000000]} to {c[ff8c00]}Guard {c[000000]}and\ndecrease the damage you take!
DisplayCurrentFloor	\x0e\x02\x01\0F
DisplayMaxFloor	\x0e\x02\x01\0F
TitleMenuBody.msbt
RogueBtnTitle	Story\nMode
RogueBtnSubTitle	The Destined Rivals
LocalBtn	Local Play Mode
InternetBtn	Online Mode
OfflineMultiBtn	Battle\nMode
SingleBtn	Single-\nHanded Mode
BackOp	\x0e\x04\x06\x022\0 Back
EShopOp	\x0e\x04\x07\x023\0 Nintendo eShop
ClearRateLabel	Clear
ClearRateNum	\x0e\x02\x01\0{s[075]}%{s[100]}
UnlockSingleModeDialog	{c[ff8c00]}Single-Handed Mode{c[000000]}\nis now unlocked!
CopyRight	©2020 HAL Laboratory, Inc. / Nintendo
TitleStart	Press \x0e\x04\x05\x021\0
UnlockStarAlliesPerk	As a bonus for playing\n{c[ff8c00]}Kirby Star Allies{c[000000]}, you've\nreceived the Staff, Sword,\nand Beam {c[ff8c00]}rare hats{c[000000]}!
UnlockStarAlliesPerkCaution	Increase your{c[ff8c00]} Fighters Rank\n{c[000000]}to unlock more abilities so\nyou can select the Three\nMage-Sisters' {c[ff8c00]}rare hats{c[000000]}!
UnlockHuntersPerk	As a bonus for playing\n{c[ff8c00]}Super Kirby Clash{c[000000]}, you've\nreceived the Sword {c[ff8c00]}rare hat{c[000000]}!\nTry it on when you{c[ff8c00]} change hats{c[000000]}!
SuggestCompletePage0	Congratulations on clearing\n{c[ff8c00]}Story Mode{c[000000]} for the first time!\nGetting {c[ff8c00]}100% clear{c[000000]} isn't so\nfar out of your grasp!
SuggestCompletePage1	Keep improving your skills by\nincreasing your {c[ff8c00]}Fighters Rank\n{c[000000]}and trying any {c[ff8c00]}uncleared modes{c[000000]}!
ConfirmAccessEShop	Open {c[ff8c00]}Nintendo eShop{c[000000]} and go\nto the page for the full version\nof {c[ff8c00]}Kirby Fighters 2{c[000000]}?
ConfirmAccessEShopRogueClear	Thanks for playing! This is as far\nas the {c[ff8c00]}Demo Version {c[000000]}goes. In the\n{c[ff8c00]}Full Version{c[000000]}, you can {c[ff8c00]}continue {c[000000]}the\nstory and play as more {c[ff8c00]}characters{c[000000]}!
ConfirmYes	Yes
ConfirmNo	No
